game;elements;description;link;Action;Aventure;RPG;Plate-Forme;FPS;Course;Strategie;Sport;Reflexion;Combat;Simulation;Point'n Click;Infiltration;Gestion;Action RPG;Beat'em All;Survival-Horror;Rythme;Autres;Puzzle-Game;Shoot'em Up;Tactique;Shooter;MMO;MMORPG;Tactical RPG;Creation;TPS;Tir;Adresse;Sandbox;Roguelike;Survie;Open World;Wargame;Hack'n slash;Jeu de cartes;Runner;Dungeon RPG;4X;God Game;Visual Novel;MOBA;Tower Defense;Battle Royale;Ludo-Educatif;Simulation de vie;MMOFPS;City Builder;Jeu de societe;Management
NieR Automata;['Action RPG'];"Nier Automata est un jeu d'action de type RPG jouable en solo. Le titre amène le joueur dans un futur lointain où la Terre a été envahie par des formes extra-terrestres armées de ""bio-machines"". Après s'être réfugiée sur la lune, l'humanité envoie sur leur planète natale des androïdes capable de lutter avec les extra-terrestres et reconquérir la planète.";http://www.jeuxvideo.com/jeux/jeu-429839/;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dishonored 2;['Action', 'FPS', 'Infiltration'];Suite du primé Dishonored, un jeu à la première personne à la croisée des genres action et infiltration se déroulant dans un univers steampunk uchronique. Pouvoirs, assassinats, complots sont au programme.;http://www.jeuxvideo.com/jeux/jeu-429098/;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Forza Horizon 3;['Course'];Jeu de course en monde ouvert, Forza Horizon 3 vous donne accès à des centaines de véhicules. Le joueur pourra arpenter à toute vitesse les paysages d'Australie. De très nombreuses épreuves sont au programme et les pilotes du monde entier peuvent s'affronter dans les mêmes conditions que dans le mode solo. Le jeu est en Xbox Play Anywhere, ce qui signifie qu'une même clé est activable sur Windows 10 comme sur Xbox One.;http://www.jeuxvideo.com/jeux/jeu-500869/;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Umineko no Naku Koro ni : Shinjitsu to Gensô no Symphony;['Aventure', 'Visual Novel'];Umineko no Naku Koro ni est un visual novel. Le joueur incarne le jeune Battler Ushiromiya qui assiste à une série de meurtres brutaux et incompréhensible. Son objectif sera alors de les résoudre pour savoir s'ils ont été commis par un être humain ou une entité surnaturelle.;http://www.jeuxvideo.com/jeux/jeu-77787/;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Inside;['Plate-Forme'];Inside est un jeu d'aventure et d'exploration où le joueur incarne un petit garçon qui doit s'en sortir dans une société étrange et autoritaire. Le joueur alterne entre les phases de plate-forme et d'énigmes.;http://www.jeuxvideo.com/jeux/jeu-82690/;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fire Emblem Fates : Revelation sur 3DS;['Tactical RPG'];Fire Emblem Fates : Revelation est un DLC pour les deux versions de Fire Emblem Fates. Il propose un troisième scénario bonus qui permet d'interagir avec les deux camps de l'histoire, proposant encore un troisième point de vue sur celle-ci.;http://www.jeuxvideo.com/jeux/3ds/jeu-449854/;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Witcher 3 : Wild Hunt - Blood and Wine;['RPG'];Dans The Witcher 3 : Wild Hunt - Blood and Wine sur PC, entrez dans la peau de Geralt de Riv, tueur de monstres professionnel, et explorez Toussaint, une lointaine contrée épargnée par la guerre, où vous lèverez le voile sur le terrible secret derrière la bête terrorisant le duché. Démêlez l'écheveau complexe des pistes au cœur d'un mystère que seul un sorceleur pourra élucider, tout en survivant au mal tapi à la faveur de la nuit.;http://www.jeuxvideo.com/jeux/jeu-452329/;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Uncharted 4 : A Thief's End sur PS4;['Action', 'Aventure'];Quatrième opus de la série de jeu d'action/aventure à succès de Naughty Dog, Uncharted 4 A Thief's End vous permet d'incarner Nathan Drake pour la première fois sur PS4. Le célèbre explorateur devra révéler le complot qui se cache derrière un légendaire trésor de pirates.;http://www.jeuxvideo.com/jeux/playstation-4-ps4/00050900-uncharted-4-a-thief-s-end.htm;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dark Souls III;['Action', 'Action RPG', 'Dungeon RPG'];Développé par From Software, Dark Souls 3 est un action RPG particulièrement exigeant. L'environnement, très peu accueillant, ravira les amateurs de challenges corsés. Vous y combattrez de gigantesques ennemis, qui ne feront qu'une bouchée de vous.;http://www.jeuxvideo.com/jeux/jeu-429332/;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Day of the Tentacle : Special Edition;['Aventure'];Day of the Tentacle : Special Edition est un jeu d'aventure sur PS4 faisant suite à Maniac Mansion. On y retrouve d'ailleurs le personnage de Bernard qui, accompagné par deux amis Hoogie et Laverne, devra sauver l'humanité de l'emprise des tentacules créés par le Dr Fred. Humour, anachronismes et voyages dans le temps sont au programme du jeu aux graphismes cartoon.;http://www.jeuxvideo.com/jeux/add-on/jeu-95337/;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ori and the Blind Forest : Definitive Edition;['Plate-Forme'];Jeu de plates-formes poétique pour Xbox ONE, Ori and the Blind Forest rend hommage par son gameplay aux jeux d'aventure, RPG et Metroidvania. Le joueur doit explorer les niveaux afin de trouver de nouveaux pouvoirs et de pouvoir accéder à de nouvelles zones.;http://www.jeuxvideo.com/jeux/jeu-461160/;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Unravel;['Réflexion', 'Plate-Forme'];Entre plates-formes et réflexion, Unravel vous embarque dans un univers nordique réaliste aux commandes de Yarny. Haut comme trois pommes, ce petit personnage doit utiliser ses propriétés laineuses pour explorer un environnement aux mille dangers, en évitant notamment l'eau, le froid et les animaux sauvages.;http://www.jeuxvideo.com/jeux/jeu-429443/;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Xenoblade Chronicles X sur WiiU;['Aventure', 'RPG'];Xenoblade Chronicles X est un jeu de rôle sur Wii U. Dans ce gigantesque monde ouvert et fantastique, les joueurs peuvent se déplacer et se battre à bord de robots volants baptisés Skells. L'humanité a dû fuir la Terre suite à l'assaut de forces extraterrestres et tente de coloniser une nouvelle planète. Mais sur Mira, la faune primitive leur réserve un accueil plutôt hostile et il leur faudra s'organiser pour espérer survivre.;http://www.jeuxvideo.com/jeux/wii-u-wiiu/00047666-xenoblade-chronicles-x.htm;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Divinity : Original Sin - Enhanced Edition;['RPG'];Jeu de rôle au tour par tour, Divinity : Original Sin se passe 8 millénaires après les événements de Divinity : Dragon Commander. Prenant place dans un univers heroïc-fantasy et s'inspirant des mécaniques des premiers jeux de rôle tels que Donjons et Dragons, le jeu comprend un mode multijoueur en écran splitté. La version Enhanced rendant le jeu disponible sur consoles apportera des nouveautés en termes de contenu et de scénario.;http://www.jeuxvideo.com/jeux/jeu-425727/;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dishonored : Definitive Edition;['Action', 'Aventure'];Dishonored : Definitive Edition est la version remasterisé de Dishonored, jeu d'infiltration et d'action dans lequel le joueur incarne Corvo, un ancien garde du corps. La Definitive Edition comprend aussi tous les DLC de Dishonored.;http://www.jeuxvideo.com/jeux/jeu-435216/;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Witcher 3 : Wild Hunt;['Action', 'RPG'];The Witcher 3 : Wild Hunt est un Action-RPG se déroulant dans un monde ouvert. Troisième épisode de la série du même nom, inspirée des livres du polonais Andrzej Sapkowski, cet opus relate la fin de l'histoire de Geralt de Riv.;http://www.jeuxvideo.com/jeux/jeu-77555/;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GemCraft : Chasing Shadows sur PC;['Tower Defense'];Le dernier né de la saga GemCraft, une série unique de jeux de Tower Defense sur PC où, au lieu de tours, vous utilisez des gemmes en tant qu'armes pour combattre des hordes incessantes de monstres redoutables.;http://www.jeuxvideo.com/jeux/pc/jeu-435210/;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Ori and the Blind Forest;['Plate-Forme'];Ori and the Blind Forest est un Metroidvania prenant place dans un univers enchanteur et poétique. Assez classique dans son approche du genre, vous devrez fouiller chaque niveau pour débloquer de nouveaux pouvoirs et capacités afin d'accéder aux zones suivantes.;http://www.jeuxvideo.com/jeux/jeu-82689/;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Super Smash Bros. for Wii U sur WiiU;['Combat'];Super Smash Bros. for Wii U est un jeu de combat en arènes dans lesquelles s’affrontent un grand nombre de personnages issus de l’univers de Nintendo, tels que Pikachu, Link, Mario, Samus, ou encore Donkey Kong. De nouveaux combattants arrivent également tels que Mega Man, la coach de Wii Fit, et même le villageois de Animal Crossing. De nombreux modes sont disponibles, et le mode multijoueur est bien évidemment toujours de la partie.;http://www.jeuxvideo.com/jeux/wii-u-wiiu/00045513-super-smash-bros-for-wii-u.htm;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bayonetta 2;"[""Beat'em All""]";Suite du premier opus du même nom, Bayonetta 2 est un jeu de combat et d'action dans lequel le joueur incarne une puissante et séduisante sorcière. Le jeu propose diverses situations de combat toutes plus rocambolesques les unes que les autres, ainsi que des coups de grâces spectaculaires.;http://www.jeuxvideo.com/jeux/jeu-76077/;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Last of Us Remastered sur PS4;['Action', 'Survival-Horror'];The Last of Us Remastered est un survival action sur PS4 qui raconte l'histoire de Joel et d'Ellie qui vont devoir s'entraider pour survivre face à une mystérieuse peste qui a décimé les Etats-Unis. La nature commence à s'approprier les villes abandonnées et les quelques survivants s'entre-tuent pour récupérer le peu de nourriture et d'armes encore présentes. Cette version améliorée du jeu propose l'aventure de base et le DLC Left Behind.;http://www.jeuxvideo.com/jeux/playstation-4-ps4/00052332-the-last-of-us-remastered.htm;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ether One;['Aventure'];Ether One est un jeu d'aventure psychologique. Le joueur y découvre une histoire présentant de multiples possibilités suivant la voie qu'il décidera de prendre. La frontière entre réalité et fiction, ainsi que le thème de la folie sont au centre de cette aventure particulière.;http://www.jeuxvideo.com/jeux/jeu-79756/;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Legend of Zelda : The Wind Waker HD sur WiiU;['Action', 'Aventure', 'RPG'];The Legend of Zelda : The Wind Waker HD sur Wii U est le remake du jeu éponyme sorti sur GameCube. Cette version propose une refonte graphique en HD avec un affichage en 1080p, des couleurs et des effets de lumière retravaillés. L'ergonomie est optimisée grâce aux fonctions offertes par le GamePad et des modifications ont été introduites pour corriger les baisses de rythme du jeu original. Il est également possible de jeter des bouteilles à la mer pour communiquer avec les autres joueurs.;http://www.jeuxvideo.com/jeux/wii-u-wiiu/00047665-the-legend-of-zelda-the-wind-waker-hd.htm;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Last of Us sur PS3;['Action', 'Survival-Horror'];The Last of Us est un jeu d'action et de survie dans laquelle le joueur incarne Joel et Ellie, obligés de voyager ensemble à travers les États-Unis. L'histoire se passe dans un monde ravagé par une maladie transformant les gens en zombies et ayant semé l'anarchie parmi les survivants il y a des années de cela. L'esquive et l'infiltration seront souvent de mise face à des ennemis en surnombre ou particulièrement puissants.;http://www.jeuxvideo.com/jeux/jeu-77946/;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bioshock Infinite;['Action', 'FPS', 'Aventure'];Troisième épisode de la série Bioshock, Bioshock Infinite est un jeu d'aventure dont l'action se passe en 1912, dans la cité flottante de Colombia. Le joueur accompagne Booker DeWitt, un détective chargé de retrouver une jeune femme disparue, prisonnière de la ville.;http://www.jeuxvideo.com/jeux/jeu-68646/;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Walking Dead : Episode 5 - No Time Left;"['Aventure', ""Point'n Click""]";The Walking Dead : Episode 5 - No Time Left pour PC est le cinquième épisode du jeu vidéo, inspiré du comic du même nom. On y retrouve Lee dans la ville de Savannah, ce dernier partant à la rescousse de Clémentine qui a été capturée...;http://www.jeuxvideo.com/jeux/add-on/jeu-111202/;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Okami HD sur PS3;['Action', 'Aventure'];Okami HD est un jeu d'aventure et d'action sur PS3. Le titre dispose d'un aspect graphique très particulier et vous propose d'incarner la déesse Amaterasu réincarnée en un magnifique loup blanc, dans une quête pour redonner de la vie et de la couleur dans votre monde, terrorisé par de nombreux ennemis qui font régner les ténèbres. Battez-vous au moyen d'un pinceau, véritable prolongement du personnage qu'on incarne, et utilisez-le également pour avancer dans l'histoire.;http://www.jeuxvideo.com/jeux/playstation-3-ps3/00045460-okami-hd.htm;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dishonored;['Action', 'Infiltration', 'Aventure'];Dishonored est un jeu d'infiltration et d'action dans lequel le joueur incarne Corvo, un ancien garde du corps. Celui-ci est mis en prison, accusé du meurtre de l'impératrice qu'il protégeait, et doit utiliser tous ses talents pour dévoiler le complot monté contre lui.;http://www.jeuxvideo.com/jeux/jeu-77171/;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Walking Dead : Saison 1;"['Aventure', ""Point'n Click""]";Inspiré de la bande-dessinée du même nom, The Walking Dead : Saison 1 est un jeu d'aventure dont l'action se déroule dans un monde où les gens se transforment en zombies suite à une infection inconnue. Le joueur y incarne Lee, un prisonnier rescapé qui prendra sous son aile la jeune Clémentine pour l'aider à retrouver ses parents.;http://www.jeuxvideo.com/jeux/jeu-76500/;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rayman Origins;['Plate-Forme'];Rayman Origins est un célèbre jeu de plates-formes. On retrouve un monde à l'ancienne avec un gameplay en 2D effectuant un retour aux sources de la série. Rayman part ici en quête des Electoons et des Lums à travers une soixantaine de niveaux où variété, difficulté et secrets sont au rendez-vous.;http://www.jeuxvideo.com/jeux/jeu-75095/;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Minecraft;['Création', 'Open World', 'Sandbox', 'Survie'];Jeu bac à sable indépendant et pixelisé dont le monde infini est généré aléatoirement, Minecraft permet au joueur de récolter divers matériaux, d'élever des animaux et de modifier le terrain selon ses choix, en solo ou en multi (via des serveurs). Il doit également survivre en se procurant de la nourriture et en se protégeant des monstres qui apparaissent la nuit et dans des donjons. Il peut également monter de niveau afin d'acheter des enchantements.;http://www.jeuxvideo.com/jeux/jeu-75478/;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Batman Arkham City;['Action', 'Aventure'];Batman Arkham City est un jeu d'aventure/action dans lequel Batman doit de nouveau affronter son ennemi juré, le Joker, dans un Arkham toujours plus sombre et vaste. De nombreuses quêtes annexes permettent d'explorer la ville en détails.;http://www.jeuxvideo.com/jeux/jeu-74127/;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gears of War 3 sur 360;['Action'];Gears of War 3 est un jeu d'action sur Xbox 360. Marcus, Dom, Cole, Baird et Anya sont de retour pour lutter contre les Locustes et les Lambents. Le jeu permet de conduire un nouveau type de véhicule, le Silverback, et profite d'un arsenal encore plus complet que ses prédécesseurs. Plusieurs modes multijoueur sont présents, vous permettant d'affronter d'autres joueurs dans des team deathmatch à 5 contre 5 ou encore de coopérer pour lutter contre des vagues d'ennemis.;http://www.jeuxvideo.com/jeux/xbox-360/00036686-gears-of-war-3.htm;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Xenoblade Chronicles : Definitive Edition;['RPG'];Xenoblade Chronicles est un RPG japonais. Il relate la guerre entre les hommes et machines, provoquée par un affrontement entre les grands dieux Bionis et Mékonis. Immobilisés alors que leurs lames entraient en contact, leurs corps abritent désormais deux nations rivales : les Homz et les machines. Le héros, Shulk, est un jeune garçon qui hérite d'une arme surpuissante nommée Monado, capable de prédire l'avenir.;http://www.jeuxvideo.com/jeux/jeu-74408/;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Steins : Gate;['Aventure'];Steins : Gate est un roman virtuel sur PSP. Au Japon, une bande d'amis résidant dans le quartier branché d'Akihabara a trouvé le moyen de communiquer avec le passé grâce à leur téléphone portable. Mais dans le même temps, la SERN, une société diabolique, est en train de chercher un moyen de voyager dans le passé. Cette organisation va alors prendre en chasse les jeunes étudiants afin de s'approprier leur secret.;http://www.jeuxvideo.com/jeux/jeu-78133/;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
