x_col;y_col
Le permis B est apprécié mais pas obligatoire.;oui
DEME OBLIGATOIRE;non
Pour exercer ce métier, le permis B est exigé, le permis PL représente un avantage mais n'est pas obligatoire. ;oui
Maintenance du petit matériel (nettoyeurs;non
Chauffeur permis Super Poids Lourds  FIMO/FCOS  H/F;oui
CDD de 3 mois - 35h à partir de mi-novembre, évolutif CDI;non
Posséder le permis B est impératif ainsi que le CACES 3. ;oui
- Niveau de formation: Permis C et/ou E(C) + FIMO ou Titre professionnel + Carte chronotachygraphe;oui
Vous devez posséder un véhicule et un lieu de stockage suffisant grand pour stocker le matériel.;non
- Carte conducteur.;non
chaussures noires, pour les hommes noeud papillon noir.;non
Vous possédez Permis B;oui
Expériences récentes et confirmées d'au moins 6 mois sur un poste similaire, habilitations en cours de validité (permis  C + FIMO + carte conducteur + Caces R390 Bras grue + ADR de base obligatoire.;oui
Poste à pourvoir dés maintenant.;non
L'agence intérim se charge de vous fournir les chaussures de sécurité.;non
Après une période en intérim, vous aurez la possibilité d'intégrer un groupe d'envergure nationale.;non
Permis B+ voiture exigés. ;oui
Nous recherchons plus particulièrement des professionnel (le)s pour accompagner les personnes dépendantes (personnes âgées ou handicapées) dans les gestes de la vie quotidienne sur le secteur de LIVRON/LORIOL et leurs environs (Permis B + véhicule obligatoires).;oui
Un moyen de locomotion est obligatoire car le restaurant n'est pas desservi par les transports en commun sur les heures de soirée.;non
Vous êtes en possession d'une petite caisse à outils.;non
Le permis B et un véhicule sont un réel plus du fait des déplacements fréquents.;oui
Vous disposez du permis ...;oui
Possibilité d'évolution du poste;non
Auxiliaire de vie: vous apporterez de l'aide aux personnes âgées ou handicapées dans leurs gestes au quotidien.;non
  *   Votre intervention qui devient votre valeur ajoutée « B to C » : vous organisez des rencontres clients et prenez en charge la vente des biens immobiliers (dans le strict respect de la gamme de produits certifiés par le comité de référencement de Primaxia et dans le strict respect des procédures internes de Primaxia et des réglementations en vigueur).;non
"Vous êtes titulaire du permis de conduire où vous vivez proche de l'école maternelle "" La petite sirène "" afin de pouvoir récupérer l'enfant à 16h30,";oui
Vous possédez votre petit outillage de peinture;non
- Réglage outillage de base;non
De formation bac+3 minimum : diplôme médico-social indispensable et/ou en économie sociale familiale.Expérience de 5 ans souhaitée dans poste similaire, maîtrise de l'informatique-Permis B indispensable et véhiculé;oui
- Assurer le déchargement du bois et dérivés chez les charpentiers, particuliers et / ou chantiers;non
Permis B + véhicule souhaité;oui
Avoir le permis EB serait un plus mais possibilité de formation. ;oui
Permis EC, FIMO + FCOS, carte de qualification et carte conducteur à jour.;oui
Travail important de manutention lors des circuits et en structure.Permis B de plus de 2 ans indispensable.;oui
Travail en hauteur sur une nacelle, recherchons des poseurs ayant le permis de conduire pour se rendre sur le chantier.lecture de plans souhaité. ;oui
CDI à temps complet;non
Avantage : prime d'outillage si vous possédez votre propre caisse à outils.;non
Une première expérience dans le milieu du bâtiment est nécessaire ainsi que le permis B.;oui
Recherche 1 Préparateur(rice) en CDI à partir du mois d'août.;non
Vous disposez du permis B depuis 2 ans m...;oui
