x_col;y_col_1;y_col_2
Le poste est à pourvoir au 1/03/2018 sur les secteurs de Saint Vit, Planoise, à raison de 120 heures par mois en vue d'une évolution du nombre d'heure en CDI.;0;0
Sécurité liée au covid19:augmentation des prestations de nettoyage et désinfection des postes de travail ,une distance de sécurité d'au moins 1 mètre entre les employés, l'utilisation de talkies-walkies ou de téléphones, recommandation de rester seul pendant les pauses,Des gels hydroalcooliques, lingettes désinfectantes,Des masques, visières plastiques sont mises à disposition;0;0
Expérience 3 à 5 ans.;0;0
Moyen de locomotion bienvenu.;0;1
Nous recherchons pour l'un de nos clients situé sur Villefontaine, un agent technique de travaux avec permis C ou EB.;1;0
CDI 120/mois + indemnités kilométrique, vous vous déplacez avec votre véhicule.;0;1
- Permis B - Véhicule léger Exigé;1;1
- prospecter les entreprises et repérer les besoins en matière de ressources humaines (Permis B et véhicule : indemnités kilométriques);1;1
"Vous devez être autonome dans vos déplacements pour pouvoir vous rendre au domicile des usagers ; idéalement, Permis B et voiture.";1;1
Le véhicule est nécessaire dans le cadre de vos déplacements professionnels,  défraiements assurés par la structure .;0;1
Période de travail SAISON D'ETE 2019 puis saison d'HIVER 2019/2020 si accord mutuel. ;0;0
SUPPLAY AMBOISE, agence de travail temporaire, intérim, CDD, CDI.;0;0
Poste à pourvoir au 1er octobre, possibilité long terme. ;0;0
Le véhicule exigé.;0;1
Le port d'Equipement de Protection Individuelle -EPI- (tablier, gants,...) est requis et fournis par l'entreprise utilisatrice.;0;0
Poste à pourvoir de suite en CDI (cadre). ;0;0
- contrôle des déformations d'un véhicule;0;0
Poste à pourvoir dès que possible pour un contrat d'intérim évolutif sur du long terme.;0;0
Période intérim en vue d'embauche;0;0
Poste à pourvoir immédiatement ou à partir du 16/08/2018.;0;0
Mobilité géographique obligatoire - permis de conduire + véhicule (frais de déplacement);1;1
technicien conditionnement brasserie (H/F);0;0
Expérience : 2 ans Maximum;0;0
Idéalement vous avez un moyen de locomotion pour se rendre sur le lieu de travail et possédez votre outillage;0;1
Compétences repérées en entretien des locaux, du linge, élaboration des repas (environ 20 repas/jour à réaliser) Permis de conduire indispensable. ;1;0
DERICHEBOURG Intérim & Recrutement apporte une réponse globale et personnalisée (intérim/CDD/CDI) à l'ensemble de ses clients et vivier de candidats. ;0;0
Expérience 3-5 ans. ;0;0
Pour accompagner notre développement et continuer à affirmer notre singularité dans la profession, nous recrutons pour un CDI, un :;0;0
Permis et véhicule souhaité mais pas obligatoire. ;1;1
SUP INTERIM, spécialiste du travail temporaire et du recrutement CDD/CDI, vous propose des services de qualité, des solutions personnalisées et adaptées à vos besoins.;0;0
Les modalités du CDI intérimaire : être disponible sous 4h pour se présenter sur le lieu de mission, être mobile sur un rayon de 50 km et être véhiculé, une réelle opportunité d'évolution avec des formations adaptées à votre projet professionnel et un contrat à durée indéterminée.;0;1
Le permis B est souhaitée, vous êtes amenés à conduire le véhicule de l'entreprise et vous intervenez sur plusieurs chantiers en région Normande;0;0
Cases 3 obligatoire;0;0
Vous disposez idéalement du permis B et d'un véhicule car l'entreprise n'est pas desservie par les transports en commun.;1;1
BILINGUE ANGLAIS + véhiculé et disponible le mercredi toute la journée;0;1
Contrat de Professionnalisation de 12 mois afin de valider le TP Conducteur de Voyageurs (permis D).;1;0
Possibilité de formation et d'évolution. ;0;0
Vous possédez une expérience dans le domaine du transport et êtes titulaire du permis BE et de la carte conducteur.;1;0
Vous êtes titulaire du permis CE, la Fimo, la carte conducteur et vous possédez une expérience réussie sur un poste similaire, ou en conduite sur voie escarpée.;1;0
-carte conducteur;0;0
POSTE EN CONTRAT ADULTE RELAIS: vous devez être demandeur(se) d'emploi âgé de +30 et habiter en Quartier Prioritaire de la Ville (QPV);0;0
Pour un premier temps CDD de 25h semaine en ATQS 1 par la suite vous aurez la possibilité d'évoluer vers un poste de chef d'équipe 35h semaine;0;0
un niveau BTS Traitement des matériaux, option B traitements de surfaces ou équivalant,;0;0
Vous êtes véhiculé ou possédez un permis B de plus de trois ans. ;1;1
permis b + voiture sont incontournables pour vous déplacer entre les particuliers;1;1
Possibilité pour d'autres poste en CDD.;0;0
Permis B et BE (remorque) OBLIGATOIRE;1;0
Permis B+ voiture accepte le travail de nuit en carrière.;1;1
Formation d'une durée de neuf mois : passage du titre professionnel Conducteur routier tous véhicules, comprenant permis EC + Caces Grue Auxiliaire + Eco-conduite + Prévention des risques routiers + SST;0;0
Issu(e) d'une formation de type BAC à BAC+2 en secrétariat, vous avez acquis une première expérience dans le domaine. ;0;0
Nous recrutons pour notre client, un magasin de matériaux de construction basé à Clermont-Ferrand, un(e) Commercial itinérant dans le cadre d'un contrat CDI à terme.;0;0
Vous devez impérativement être titulaire du permis C (Fimo non obligatoire).;1;0
Et plus encore !;0;0
 	En matière d'entretien courant, d'hygiène et de propreté, il planifie, organise et contrôle le travail de nettoyage et d'entretien des parties communes, des abords et des espaces verts.;0;0
Formation interne prévue le poste requiert des déplacements nécessitant de posséder obligatoirement le Permis B et un véhicule Poste à pourvoir de suite . ;1;1
Gestionnaire copropriété H/F CDI;0;0
Possibilité Moyen de locomotion obligatoire pour se rendre sur le lieu de travail à Epagny Metz Tessy et transporter le matériel de nettoyage.;0;1
Nous recherchons des chauffeurs PL ( permis C -Fimo non obligatoire ) au départ de Châteaudun pour conduire un engin agricole (avaleur de betteraves ) pour laquelle vous serez formé en interne pour   la campagne de récolte de betteraves  sur les départements 45 et 28 ( alentours de Chateaudun ) jusqu'en  janvier 2020.;0;0
- Vous avez le permis CACES 1-3-5 ou une expérience équivalente et/ou une expérience probante en magasinage et préparation.;0;0
Vous achetez le matériel électroportatifs. ;0;0
L'agence O2 Chambéry  recherche un professionnel de la petite enfance pour garder 3 enfants les mardis, jeudis et vendredis de 16h à 19h (votre voiture doit pouvoir accueillir 3 sièges autos à l'arrière).;0;1
-	Explorer le marché caché et capter les offres d'emploi durable;0;0
Le permis n'est pas obligatoire si vous habitez dans la zone de Taverny, Beauchamp,...;1;0
De formation Bac+2 BTS comptabilité/Gestion, avec minimum 5 ans d'expérience en comptabilité;0;0
Durée contrat pouvant être renouvelée si besoin.;0;0
Voiture et permis B exigés pour vous déplacer chez les patients.;1;1
magasin situé à 15 minutes du centre d'Angers(véhicule nécessaire);0;1
Permis D, FIMO/FCO Voyageurs et carte conducteur demandés cependant l'employeur peut envisager une mise à jour de vos formations.;1;0
Employé / Employée de blanch. industrielle avec permis B  (H/F);1;0
Déplacements professionnel en véhicule à effectuer.;0;0
VOS OUTILS :;0;0
Un véhicule est nécessaire car le lieu de travail n'est pas desservi sur l'ensemble de vos horaires;0;1
Vous aurez votre caisse à gérer.;0;0
Sérieux, ponctuel, avec le sens du service client développé, titulaire du permis C (FIMO et FCOS à jour) sera demandé. ;1;0
PROFIL;0;0
-	Permis B,;1;0
Vous serez autonome dans vos déplacements (Permis + véhicule idéalement);1;1
"Il/elle intervient à domicile dans le cadre de mesure de prévention ou de protection de l'enfance auprès de familles qui rencontrent des difficultés temporaires ou durables ; il est un soutien à la fonction parentale.";0;0
Vous pouvez être amené/e à effectuer quelques déplacements sur le département : Permis B est un plus.;1;0
Il vous faut  le permis B et le véhicule afin d'accompagner les personnes aux rendez vous et aux courses. ;0;1
Expérience équivalente : 2 ans;0;0
Vous avez un CAP d'Installateur Sanitaire ou l'équivalent, une expérience de plus de 5 ans pour un même poste, et un permis B.;1;0
De par son ambition de conquérir des parts de marché, la société ADKWAT recrute des commerciaux H/F en CDI.;0;0
BAFA non demandé - Encadrer et animer un séjour de Vacances Adaptées pour personnes adultes déficientes intellectuelles (assurer la vie quotidienne, accompagner dans les activités, animer le groupe et le séjour) - Public encadré : personnes adultes déficientes intellectuelles, travaillant en ESAT (handicap léger et modéré, pas de handicap moteur ou trouble psychique grave) - AOUT 2018: 3 semaines (du 28/07 au 19/08) ou 2 semaines (du 28/07 au 12/08) - Contrat en CEE (Contrat d'Engagement Educatif) - Salaire : forfait brut de 49€ par jour travaillé + 22€ (préparation du séjour en équipe) + 45€ brut (participation WE d'informations-préparation) - Siège social situé à TOURS (37) pour les préparatifs avant séjour, séjours France entière - Présence en continu sur le lieu du séjour (hormis jours de repos hebdomadaire)  - Hébergement, restauration, transports à partir de TOURS (37) pris en charge - 21 ans + 1 an permis B requis (handicap léger et modéré, pas de handicap moteur ou trouble psychique grave)0 au 28/07/18;1;0
Vous possédez idéalement un BAC pro outillage.;0;0
Un permis B ainsi que véhicule personnel sont nécessaires pour les déplacements que vous serez amené à faire.;1;1
Carte Conducteur;0;0
Poste en CDI de jour à temps plein;0;0
Véhicule et caisse à outils serait un plus.;0;1
De compétence commerciale et technique, vous justifiez d'une expérience réussie et significative dans la vente en B to B.;0;0
  - chemisier ou chemise blanche;0;0
Agent de nettoyage en CDI pour des bureaux sur St Jean d'Illac.;0;0
Un contrat en CDI !;0;0
Permis B et véhicule obligatoires. ;1;1
- avoir le  permis pour déplacer les résidents à des activités ou RDV;1;0
Vous bénéficierez d'une action de formation financée par Pole Emploi agent de prévention et de sécurité + ssiap 1 en vue d'un CDI.;0;0
Assistante comptable évolutif Ref 1003 (H/F);0;0
Vous serez équipé d'un véhicule pour vos déplacements : permis B obligatoire et vous ne devez pas être en période probatoire.;1;1
Permis B non nécessaire pour cette mission;0;0
L'agence Synergie recherche pour l'un de ses clients un Chauffeur PL et SPL ayant une expérience significative dans le TP.;0;0
Véhicule basé chez vous ou pour Lyon (ZI Vénissieux), de 3 à 5 fauteuils;0;1
Permis C + FIMO/FCOS et visite médicale à jour.;1;0
* Expérience (3 ans);0;0
Vous êtes titulaire du CACES 3 et du permis PL( FCOS ou FIMO non obligatoire). ;1;0
 Travail en semaine et un week-end sur deux. ;0;0
Le permis est demandé car vous devrez installer la remorque.;1;0
Rééquipement matériel à prévoir.;0;0
Vous êtes polyvalent et souhaitez travailler en autonomie ? ;0;0
-	Permis de conduire et véhicule personnel exigés;1;1
Le poste est à pourvoir en CDD dans une premier temps.;0;0
Vous détenez impérativement les habilitations électriques et le permis B car vous serez amené à vous déplacer entre plusieurs stations.;1;0
Profil : Souriant, avenant(e), dynamique, n'étant pas timide  + être véhiculé pour le poste de chef hôtesse.;0;1
Vérifier son outillage complet;0;0
Possibilité de prolongation de contrat durable.;0;0
JOB&BOX Auray recherche pour un de ses clients, un chauffeur Permis B, sur le secteur d'Auray.;1;0
Vous devez posséder vos équipements individuels de protection : chaussures et bleus de travail;0;0
LE VÉHICULE EST FOURNI ET DOIT ÊTRE RAMENÉ CHAQUE JOUR UNE FOIS LA LIVRAISON TERMINÉE.POUR EFFECTUER CETTE MISSION, VOUS DEVEZ AVOIR AU MINIMUM 21 ANS ET 1 ANS DE PERMIS VOUS POSSÉDEZ DES CHAUSSURES DE SÉCURITÉ.;0;0
Poste à pourvoir dans les meilleurs délais dans le cadre d'un contrat d'une mission intérim de 6 mois.;0;0
SUR MARTIGNAS (33)  Véhicule nécessaire, pas de transport en commun.;0;1
Nous recherchons pour l'un de nos clients, un poseur monteur (H/F), dans le cadre d'une embauche en CDI :;0;0
Un hébergement sur place peut être envisagé.;0;0
Poste à pourvoir en CDD de 35h suivant un planning bien défini nécessitant l'obtention du permis et d'un véhicule. ;1;1
Vous possédez le permis B ainsi qu'une voiture pour vous déplacer sur les chantiers.;1;1
Poste en temps plein pour un CDD de 3 mois dans un premier temps.;0;0
Au mieux vous êtes titulaire du permis C , EC, la FIMO et la carte conducteur,sinon vous pourrez être formé(e) à ces permis dans le cadre d'une Préparation Opérationnelle à l'Emploi.;1;0
Après une période de formation, nous vous fournirons votre véhicule-boutique et vous partirez sillonner votre secteur à la rencontre de vos clients.;0;0
vous êtes titulaire d'un permis B et d'une voiture (déplacement);1;1
Exigés : permis B, conducteur(trice) confirmé(e) - expérience dans le domaine de la grande distribution (secteurs alimentaires);1;0
Travail seul et/ ou en équipe.;0;0
Homme / Femme de ménage Marseille Centre - Véhiculé(e)  (H/F);0;1
Profil: Dynamique, organisé(e), bon relationnel, titulaire du permis B + véhicule;1;1
Véhicule souhaité mais non obligatoire, frais kilométriques pris en charge ou prise en charge partielle de la carte de transport.;0;1
- Personnelle : Pantalon noir;0;0
Le Permis B et  le véhicule est souhaité pour effectuer des déplacements entre les lieux d'execution (remboursement de frais);1;1
Avoir le goût du travail bien fait Profil : - Expérience de 2 ans souhaitée dans le Service à la personne - Permis B et véhicule obligatoires.;1;1
Vous serez amené à changer de chantier régulièrement (chaque semaine) donc un véhicule et le permis B est obligatoire;1;1
IMPÉRATIVEMENT diplômé(e) et véhiculé(e) vous prenez en charge des personnes vieillissantes, dépendantes et ou handicapées et fragilisées. ;0;1
Vous devez être vigilant(e) sur la qualité du meuble (côté, fond, façade, intérieur) et lors du chargement.;0;0
Employé / Employée de rayon libre-service Permis B (H/F) H/F;1;0
- Etre véhiculé et titulaire du permis B : pas de transports en commun sur place;1;1
Pas de logement proposé et nécessité d'avoir son propre moyen de transport.;0;1
Permis B indispensable : poste itinérant situé dans le sud de Paris (78, 94 et 91);1;0
laver les gamelles ainsi que le materiel  de cuisine;0;0
Vous vous déplacerez sur un secteur géographique limité aux alentours de Mansigné qui nécessite d'être véhiculé. ;0;1
Décoffrer l'ouvrage, nettoyer puis stocker le coffrage;0;0
Tenue : personnelle (costume noir et chaussures de ville de couleur noir ou robe tailleur noir et escarpins noir);0;0
Moyen de locomotion et Permis B nécessaires pour transport de matériel et déplacements d'un site à l'autre.;0;1
Vous avez un véhicule pour accéder à l'aéroport de Roissy  ou communes desservies par le Bus Filéo car travail en horaires décalés amplitude (5h/23h30). ;0;1
